City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,ginda,30.6945,78.4932,71.85,80,93,4.79,IN,1659245021
325,ancud,-41.8697,-73.8203,41.23,88,100,3.78,CL,1659244592
326,porterville,36.0652,-119.0168,89.02,48,0,8.05,US,1659245021
327,san quintin,30.4833,-115.95,68.97,82,10,7.14,MX,1659244579
328,talnakh,69.4865,88.3972,51.21,78,97,18.77,RU,1659245021
329,beringovskiy,63.05,179.3167,51.48,69,100,3.87,RU,1659244529
330,moshi,-3.35,37.3333,65.84,81,37,4.07,TZ,1659245022
331,husavik,66.0449,-17.3389,44.11,90,100,15.95,IS,1659244538
332,hofn,64.2539,-15.2082,50.22,57,88,10.22,IS,1659244610
333,ridgecrest,35.6225,-117.6709,87.66,38,40,14.97,US,1659245023
334,mezen,65.8522,44.24,68.22,63,70,3.2,RU,1659245023
335,kruisfontein,-34.0033,24.7314,49.62,79,90,14.79,ZA,1659244531
336,guantanamo,20.1444,-75.2092,81.97,86,1,4.72,CU,1659245024
337,bremerton,47.5673,-122.6326,81.86,66,0,5.75,US,1659244878
338,laem sing,12.4816,102.0738,90.97,100,100,10.92,TH,1659244920
339,pevek,69.7008,170.3133,50.5,57,14,7.45,RU,1659244509
340,gizo,-8.103,156.8419,83.66,72,19,6.89,SB,1659245025
341,siniscola,40.5719,9.6922,74.75,61,0,5.53,IT,1659245026
342,mullovka,54.2,49.4,71.42,75,99,4.03,RU,1659245026
343,ahuimanu,21.4447,-157.8378,82.11,77,40,13.8,US,1659245026
344,rawson,-43.3002,-65.1023,42.84,66,75,8.57,AR,1659244589
345,mehamn,71.0357,27.8492,51.75,100,100,6.91,NO,1659244633
346,talaya,61.3833,152.75,61.21,50,79,11.7,RU,1659245027
347,te anau,-45.4167,167.7167,40.5,90,62,1.21,NZ,1659244596
348,srednekolymsk,67.45,153.6833,74.46,26,13,12.19,RU,1659245028
349,flin flon,54.7682,-101.865,57.29,66,100,4.16,CA,1659245029
350,zhezkazgan,47.8043,67.7144,73.38,56,40,13.42,KZ,1659245029
351,homer,59.6425,-151.5483,56.77,95,100,5.99,US,1659245029
352,boden,65.8252,21.6886,55.4,73,100,3.8,SE,1659245030
353,awbari,26.5921,12.7805,79.57,27,16,7.38,LY,1659244993
354,dongfeng,42.6403,125.5118,81.12,80,82,6.31,CN,1659244845
355,namatanai,-3.6667,152.4333,83.95,69,78,10.27,PG,1659244597
356,masuguru,-11.3667,38.4167,70.02,76,0,2.46,TZ,1659245031
357,troitskoye,52.9821,84.6757,64.11,91,100,3.87,RU,1659245031
